horodatage,temperature_exterieure_c,humidite_pourcent,rayonnement_w_m2
2018-01-01T00:00,20.8,64,0.0
2018-01-01T01:00,20.4,65,0.0
2018-01-01T02:00,20.6,60,0.0
2018-01-01T03:00,20.6,51,0.0
2018-01-01T04:00,20.4,48,0.0
2018-01-01T05:00,20.1,46,0.0
2018-01-01T06:00,19.9,43,0.0
2018-01-01T07:00,19.8,38,0.0
2018-01-01T08:00,19.9,33,6.0
2018-01-01T09:00,21.2,29,125.0
2018-01-01T10:00,23.2,24,331.0
2018-01-01T11:00,25.2,21,524.0
2018-01-01T12:00,26.1,22,676.0
2018-01-01T13:00,28.0,21,737.0
2018-01-01T14:00,28.7,23,753.0
2018-01-01T15:00,28.8,27,703.0
2018-01-01T16:00,27.9,33,586.0
2018-01-01T17:00,26.3,41,413.0
2018-01-01T18:00,24.4,47,206.0
2018-01-01T19:00,22.7,53,37.0
2018-01-01T20:00,22.7,52,0.0
2018-01-01T21:00,23.3,41,0.0
2018-01-01T22:00,23.5,33,0.0
2018-01-01T23:00,22.8,34,0.0
2018-01-02T00:00,21.5,51,0.0
2018-01-02T01:00,20.8,57,0.0
2018-01-02T02:00,20.4,60,0.0
2018-01-02T03:00,20.2,57,0.0
2018-01-02T04:00,20.1,49,0.0
2018-01-02T05:00,20.1,43,0.0
2018-01-02T06:00,19.9,39,0.0
2018-01-02T07:00,19.9,36,0.0
2018-01-02T08:00,19.9,36,5.0
2018-01-02T09:00,21.0,34,112.0
2018-01-02T10:00,22.6,29,310.0
2018-01-02T11:00,24.5,25,488.0
2018-01-02T12:00,25.2,28,668.0
2018-01-02T13:00,26.6,30,779.0
2018-01-02T14:00,26.8,34,778.0
2018-01-02T15:00,26.0,41,700.0
2018-01-02T16:00,24.9,44,587.0
2018-01-02T17:00,23.6,47,345.0
2018-01-02T18:00,22.8,51,198.0
2018-01-02T19:00,21.9,58,35.0
2018-01-02T20:00,21.5,61,0.0
2018-01-02T21:00,21.3,64,0.0
2018-01-02T22:00,21.0,66,0.0
2018-01-02T23:00,20.6,69,0.0
2018-01-03T00:00,20.5,67,0.0
2018-01-03T01:00,20.4,62,0.0
2018-01-03T02:00,20.4,52,0.0
2018-01-03T03:00,20.6,45,0.0
2018-01-03T04:00,20.6,42,0.0
2018-01-03T05:00,20.3,43,0.0
2018-01-03T06:00,20.2,42,0.0
2018-01-03T07:00,20.1,38,0.0
2018-01-03T08:00,20.3,34,5.0
2018-01-03T09:00,21.4,32,121.0
2018-01-03T10:00,22.9,27,279.0
2018-01-03T11:00,24.6,23,437.0
2018-01-03T12:00,25.5,23,458.0
2018-01-03T13:00,26.9,24,656.0
2018-01-03T14:00,27.6,27,752.0
2018-01-03T15:00,26.7,36,690.0
2018-01-03T16:00,24.4,46,491.0
2018-01-03T17:00,23.3,47,351.0
2018-01-03T18:00,22.5,53,213.0
2018-01-03T19:00,21.7,59,37.0
