scenario_id,date_cible,saison,occupation,nb_appareils,credit_initial_FCFA,T_mean,T_amp,H_mean,R,C,COP,kWh_jour_moyen,kWh_jour_min,kWh_jour_max,Pmax_W
foyer_0000,2026-09-13,Fraiche,2,6,37730.0,26.1,3.32,73.7,29.96,873.5,3.68,3.227,3.118,3.334,2898.0
foyer_0001,2026-07-17,Fraiche,5,8,12605.0,26.94,2.94,75.5,26.86,1452.7,2.64,6.913,6.725,7.133,1880.8
foyer_0002,2026-12-20,Fraiche,8,6,1351.0,26.96,3.56,72.9,24.45,1193.7,3.29,3.539,3.416,3.623,2852.3
foyer_0003,2026-08-29,Fraiche,8,8,3642.0,27.2,4.28,71.8,30.42,729.8,2.79,7.147,7.103,7.196,1983.2
foyer_0004,2026-04-26,Chaude,4,7,26423.0,30.42,3.64,62.6,20.56,1075.7,4.11,7.17,6.831,7.551,1907.7
foyer_0005,2026-07-22,Fraiche,3,7,8498.0,25.95,2.05,74.7,38.58,1867.2,4.4,4.597,4.502,4.743,1934.3
foyer_0006,2026-05-22,Chaude,4,7,15479.0,31.24,3.13,66.0,19.37,1209.2,2.12,4.272,4.174,4.379,1752.4
foyer_0007,2026-06-07,Chaude,7,6,3865.0,31.49,5.02,65.7,29.32,2371.6,3.04,3.795,3.724,3.842,1859.7
foyer_0008,2026-05-20,Chaude,7,7,36913.0,28.82,4.5,64.4,38.95,2437.2,2.25,5.879,5.662,6.027,1343.4
foyer_0009,2026-02-16,Fraiche,8,7,1594.0,26.21,3.2,74.4,26.73,1594.9,2.15,8.937,8.695,9.341,1779.6
foyer_0010,2026-04-12,Chaude,6,7,29682.0,30.27,3.27,66.6,21.23,1632.8,2.12,7.671,7.659,7.677,2041.7
foyer_0011,2026-08-16,Fraiche,2,7,10804.0,26.63,4.37,75.3,17.98,2158.1,4.08,5.668,5.534,5.856,1187.9
foyer_0012,2026-07-05,Fraiche,2,6,38831.0,27.94,4.13,75.8,20.74,1305.6,2.31,6.747,6.507,7.016,1835.0
foyer_0013,2026-04-06,Chaude,8,6,36237.0,31.46,4.79,62.9,37.47,2139.3,3.47,4.679,4.503,4.893,1095.8
foyer_0014,2026-05-23,Chaude,5,6,14114.0,27.62,3.0,67.4,15.01,2016.0,3.23,5.53,5.394,5.691,2744.8
foyer_0015,2026-04-01,Chaude,1,7,32025.0,30.35,2.98,67.8,33.22,923.1,4.38,5.366,5.225,5.45,1774.6
foyer_0016,2026-07-12,Fraiche,1,5,15882.0,26.86,3.92,75.5,38.46,1391.2,2.03,4.262,4.024,4.397,1351.1
foyer_0017,2026-12-29,Fraiche,1,6,34725.0,26.0,1.68,76.9,20.99,1165.7,2.27,4.104,4.025,4.183,1587.2
foyer_0018,2026-12-25,Fraiche,8,7,24454.0,26.32,3.36,75.7,26.71,2121.9,3.24,5.163,5.016,5.289,1765.1
foyer_0019,2026-03-19,Chaude,3,7,15987.0,30.68,5.03,64.3,33.82,1472.6,2.55,7.032,6.911,7.199,1537.7
foyer_0020,2026-08-13,Fraiche,4,5,1535.0,28.44,3.74,80.2,37.26,1423.9,4.32,2.071,1.928,2.143,1396.5
foyer_0021,2026-02-20,Fraiche,3,7,10926.0,26.38,4.02,72.5,23.61,1341.8,2.25,6.333,5.965,6.682,1713.9
foyer_0022,2026-10-24,Fraiche,3,7,1246.0,27.64,5.55,74.4,31.14,1570.2,2.4,8.49,8.437,8.557,1529.9
foyer_0023,2026-08-25,Fraiche,4,7,5642.0,27.17,3.47,75.7,30.0,2335.0,3.91,5.323,5.07,5.477,1557.1
foyer_0024,2026-09-17,Fraiche,7,8,30006.0,28.69,4.23,66.3,17.02,925.8,3.22,9.314,9.067,9.558,1855.6
foyer_0025,2026-07-10,Fraiche,6,7,9841.0,26.29,4.33,71.9,29.72,2241.0,2.49,5.9,5.573,6.114,1651.0
foyer_0026,2026-04-04,Chaude,4,6,14016.0,29.99,4.43,64.9,21.54,1122.2,3.27,8.506,8.042,8.88,2026.4
foyer_0027,2026-03-26,Chaude,3,6,24489.0,32.89,3.48,64.9,21.64,2204.3,2.42,7.5,7.136,7.773,1916.0
foyer_0028,2026-09-20,Fraiche,8,6,26545.0,26.8,2.99,75.1,17.19,1585.4,4.17,5.227,5.168,5.277,1704.8
foyer_0029,2026-09-25,Fraiche,1,6,3630.0,27.38,3.08,69.5,18.16,1763.6,4.46,3.435,3.249,3.636,1358.5
foyer_0030,2026-12-22,Fraiche,5,5,22314.0,27.5,3.38,73.8,34.56,1565.0,4.41,3.314,3.218,3.37,1314.7
foyer_0031,2026-11-08,Fraiche,5,7,7457.0,29.33,3.26,69.5,35.85,1618.9,3.1,4.2,4.164,4.257,1900.1
foyer_0032,2026-07-24,Fraiche,4,7,16025.0,27.09,3.67,67.8,37.43,1023.1,2.81,4.042,3.864,4.174,1731.9
foyer_0033,2026-10-31,Fraiche,8,7,32654.0,24.95,2.9,79.6,23.54,1045.4,2.43,6.406,6.202,6.557,1476.3
foyer_0034,2026-09-18,Fraiche,4,7,16081.0,26.58,2.23,74.6,29.57,1757.7,3.87,5.06,5.033,5.113,1648.8
foyer_0035,2026-04-16,Chaude,1,6,38528.0,31.93,3.39,57.1,25.99,2024.4,2.55,5.267,5.118,5.428,1433.9
foyer_0036,2026-06-10,Chaude,7,7,10152.0,30.72,4.07,65.8,27.67,518.3,2.41,6.881,6.563,7.435,1474.5
foyer_0037,2026-03-16,Chaude,8,4,39972.0,31.14,3.41,65.3,33.04,1278.1,3.92,1.547,1.352,1.698,277.5
foyer_0038,2026-01-26,Fraiche,2,5,31246.0,26.96,4.76,74.3,27.05,893.7,3.49,3.373,3.018,3.643,1449.9
foyer_0039,2026-08-04,Fraiche,5,7,11263.0,26.83,4.57,75.0,16.92,1801.5,3.68,6.308,6.122,6.438,1190.2
foyer_0040,2026-01-25,Fraiche,6,7,39548.0,27.92,2.17,71.0,35.76,769.3,4.32,5.16,4.873,5.391,2815.0
foyer_0041,2026-10-18,Fraiche,5,7,5397.0,26.29,1.7,71.9,23.88,957.4,2.3,9.586,9.412,9.925,1998.3
foyer_0042,2026-08-05,Fraiche,5,8,8860.0,28.46,3.97,71.8,22.54,559.5,2.28,11.212,10.786,11.68,1772.0
foyer_0043,2026-05-02,Chaude,3,7,15079.0,28.97,3.48,67.6,30.45,2418.8,3.86,5.291,5.145,5.472,1931.4
foyer_0044,2026-02-01,Fraiche,2,7,7153.0,28.28,3.25,71.0,22.08,699.6,2.79,8.274,7.838,8.498,1467.9
foyer_0045,2026-09-21,Fraiche,6,6,26170.0,25.54,2.63,79.3,16.54,2098.7,3.25,3.155,2.927,3.296,1448.5
foyer_0046,2026-10-23,Fraiche,3,8,34154.0,26.03,3.24,73.5,17.52,552.5,3.46,5.984,5.949,6.023,2868.2
foyer_0047,2026-01-09,Fraiche,3,7,39141.0,26.13,3.67,73.4,20.21,907.7,2.46,6.228,6.079,6.506,1897.2
foyer_0048,2026-04-27,Chaude,4,7,15465.0,28.48,4.8,69.3,38.97,666.4,2.46,6.401,6.276,6.54,1566.3
foyer_0049,2026-07-24,Fraiche,7,6,28268.0,28.08,3.16,72.4,21.78,2311.3,2.83,5.697,5.486,5.939,1490.3
foyer_0050,2026-04-11,Chaude,6,7,27681.0,31.2,4.68,61.7,38.5,1578.7,3.31,6.701,6.412,6.915,1661.2
foyer_0051,2026-05-18,Chaude,4,7,17125.0,29.61,2.93,62.9,15.93,966.0,2.37,8.082,7.707,8.669,2968.5
foyer_0052,2026-04-19,Chaude,6,7,34554.0,30.03,3.77,70.2,18.29,925.9,4.05,5.827,5.705,6.062,1729.3
foyer_0053,2026-09-09,Fraiche,6,7,3012.0,25.89,3.22,75.9,25.66,2219.1,2.43,6.378,5.948,6.647,2080.2
foyer_0054,2026-05-07,Chaude,4,8,6416.0,30.34,4.09,64.1,22.89,1195.9,3.82,6.949,6.783,7.217,1919.2
foyer_0055,2026-08-02,Fraiche,8,8,13840.0,25.79,3.52,70.2,30.08,2358.2,2.42,8.747,8.52,9.173,1901.3
foyer_0056,2026-11-30,Fraiche,2,4,16509.0,27.62,4.54,75.2,34.62,1100.0,3.15,3.133,3.05,3.212,319.7
foyer_0057,2026-02-07,Fraiche,6,7,4917.0,28.72,1.98,74.3,19.44,2257.5,2.16,8.381,8.071,8.584,2006.8
foyer_0058,2026-10-12,Fraiche,8,7,10384.0,27.6,3.1,70.9,26.89,680.9,2.59,7.567,7.474,7.709,1918.4
foyer_0059,2026-12-06,Fraiche,5,6,10162.0,27.25,3.88,66.9,29.0,1683.2,2.66,5.898,5.859,5.957,2015.7
