minute,heure,TV_W,Eclairage_LED_W,Ventilateur_W,Refrigerateur_W,Total_agrege_W
0,0.0,0.0,0.0,0.0,0.001,0.001
1,0.016666666666666666,0.0,0.0,0.0,0.001,0.001
2,0.03333333333333333,0.0,0.0,0.0,0.001,0.001
3,0.05,0.0,0.0,0.0,0.001,0.001
4,0.06666666666666667,0.0,0.0,0.0,0.001,0.001
5,0.08333333333333333,0.0,0.0,0.0,0.001,0.001
6,0.1,0.0,0.0,0.0,0.001,0.001
7,0.11666666666666667,0.0,0.0,0.0,0.001,0.001
8,0.13333333333333333,0.0,0.0,0.0,0.001,0.001
9,0.15,0.0,0.0,0.0,0.001,0.001
10,0.16666666666666666,0.0,0.0,0.0,0.001,0.001
11,0.18333333333333332,0.0,0.0,0.0,0.001,0.001
12,0.2,0.0,0.0,0.0,0.001,0.001
13,0.21666666666666667,0.0,0.0,0.0,0.001,0.001
14,0.23333333333333334,0.0,0.0,0.0,0.001,0.001
15,0.25,0.0,0.0,0.0,0.001,0.001
16,0.26666666666666666,0.0,0.0,0.0,0.001,0.001
17,0.2833333333333333,0.0,0.0,0.0,0.001,0.001
18,0.3,0.0,0.0,0.0,0.001,0.001
19,0.31666666666666665,0.0,0.0,0.0,0.001,0.001
20,0.3333333333333333,0.0,0.0,0.0,0.001,0.001
21,0.35,0.0,0.0,0.0,0.001,0.001
22,0.36666666666666664,0.0,0.0,0.0,0.001,0.001
23,0.38333333333333336,0.0,0.0,0.0,0.001,0.001
24,0.4,0.0,0.0,0.0,0.001,0.001
25,0.4166666666666667,0.0,0.0,0.0,0.001,0.001
26,0.43333333333333335,0.0,0.0,0.0,0.001,0.001
27,0.45,0.0,0.0,0.0,0.001,0.001
28,0.4666666666666667,0.0,0.0,0.0,0.001,0.001
29,0.48333333333333334,0.0,0.0,0.0,0.001,0.001
30,0.5,0.0,0.0,0.0,0.001,0.001
31,0.5166666666666667,0.0,0.0,0.0,0.001,0.001
32,0.5333333333333333,0.0,0.0,0.0,0.001,0.001
