scenario,jour,bloc_30min,power_W,Wh_bloc
Foyer_Aise,1,0,0.00030000000000000003,0.00015000000000000001
Foyer_Aise,1,1,0.001,0.0005
Foyer_Aise,1,2,0.001,0.0005
Foyer_Aise,1,3,0.001,0.0005
Foyer_Aise,1,4,0.001,0.0005
Foyer_Aise,1,5,0.001,0.0005
Foyer_Aise,1,6,0.001,0.0005
Foyer_Aise,1,7,0.001,0.0005
Foyer_Aise,1,8,0.001,0.0005
Foyer_Aise,1,9,0.001,0.0005
Foyer_Aise,1,10,0.0011,0.00055
Foyer_Aise,1,11,210.1471851309042,105.0735925654521
Foyer_Aise,1,12,420.2923702618084,210.1461851309042
Foyer_Aise,1,13,324.61616283307075,162.30808141653537
Foyer_Aise,1,14,1097.2511419805624,548.6255709902812
Foyer_Aise,1,15,1710.813443934232,855.406721967116
Foyer_Aise,1,16,157.27420521894615,78.63710260947308
Foyer_Aise,1,17,581.9326731415198,290.9663365707599
Foyer_Aise,1,18,697.7349038394218,348.8674519197109
Foyer_Aise,1,19,0.0018333333333333333,0.0009166666666666666
Foyer_Aise,1,20,117.7448716317518,58.8724358158759
Foyer_Aise,1,21,153.57996299793714,76.78998149896857
Foyer_Aise,1,22,153.57996299793714,76.78998149896857
Foyer_Aise,1,23,153.57996299793714,76.78998149896857
Foyer_Aise,1,24,102.04406670116757,51.02203335058378
Foyer_Aise,1,25,56.61698208824654,28.30849104412327
Foyer_Aise,1,26,52.14941759898751,26.074708799493756
Foyer_Aise,1,27,60.33458723894968,30.16729361947484
Foyer_Aise,1,28,52.55708532896423,26.278542664482114
Foyer_Aise,1,29,46.70097336400499,23.350486682002494
Foyer_Aise,1,30,47.98013118208719,23.990065591043596
Foyer_Aise,1,31,147.19932598781045,73.59966299390523
Foyer_Aise,1,32,238.55018934125036,119.27509467062518
Foyer_Aise,1,33,195.82630727898643,97.91315363949322
Foyer_Aise,1,34,208.44057766282012,104.22028883141006
Foyer_Aise,1,35,225.41432059214682,112.70716029607341
Foyer_Aise,1,36,326.99917674619365,163.49958837309683
Foyer_Aise,1,37,361.0700814907975,180.53504074539876
Foyer_Aise,1,38,410.1608562411091,205.08042812055456
Foyer_Aise,1,39,326.87047011111247,163.43523505555623
Foyer_Aise,1,40,260.54248846385246,130.27124423192623
Foyer_Aise,1,41,626.0901767945339,313.04508839726697
Foyer_Aise,1,42,1168.317940005581,584.1589700027905
Foyer_Aise,1,43,1267.0544463153249,633.5272231576624
Foyer_Aise,1,44,1200.81754467825,600.408772339125
Foyer_Aise,1,45,1184.2657314744918,592.1328657372459
Foyer_Aise,1,46,949.1777012986715,474.58885064933577
Foyer_Aise,1,47,854.2505897622915,427.12529488114575
Foyer_Aise,2,0,0.001,0.0005
Foyer_Aise,2,1,0.001,0.0005
Foyer_Aise,2,2,0.001,0.0005
Foyer_Aise,2,3,0.001,0.0005
Foyer_Aise,2,4,0.001,0.0005
Foyer_Aise,2,5,0.001,0.0005
Foyer_Aise,2,6,0.001,0.0005
Foyer_Aise,2,7,20.71870394198138,10.35935197099069
Foyer_Aise,2,8,30.933466090325943,15.466733045162972
Foyer_Aise,2,9,0.001,0.0005
Foyer_Aise,2,10,96.50595564839932,48.25297782419966
Foyer_Aise,2,11,264.84818664657826,132.42409332328913
Foyer_Aise,2,12,993.2393643886669,496.61968219433345
Foyer_Aise,2,13,1537.4380076755356,768.7190038377678
Foyer_Aise,2,14,1604.6598917487547,802.3299458743774
Foyer_Aise,2,15,29.57913041967437,14.789565209837185
Foyer_Aise,2,16,882.9870707704196,441.4935353852098
Foyer_Aise,2,17,648.7706755197349,324.38533775986747
Foyer_Aise,2,18,139.4908190978242,69.7454095489121
Foyer_Aise,2,19,27.89881715289817,13.949408576449086
Foyer_Aise,2,20,113.77284598471913,56.88642299235956
Foyer_Aise,2,21,155.1444263427988,77.5722131713994
Foyer_Aise,2,22,155.1444263427988,77.5722131713994
Foyer_Aise,2,23,155.1444263427988,77.5722131713994
Foyer_Aise,2,24,31.02968526855976,15.51484263427988
Foyer_Aise,2,25,15.59631166310042,7.79815583155021
Foyer_Aise,2,26,194.87916233036768,97.43958116518384
Foyer_Aise,2,27,203.736359706348,101.868179853174
Foyer_Aise,2,28,209.62779142485547,104.81389571242774
Foyer_Aise,2,29,117.56103766541182,58.78051883270591
